file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,setFloat/1[float],false,280,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,hello/1[java.lang.String],false,258,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,showInt/1[int],false,262,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,getName/0,false,250,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,setName/1[java.lang.String],false,254,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,setFloat/1[float],false,270,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,getFloat/0,false,266,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl0,privateMethod/0,false,240,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl0,publicMethod/0,false,242,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\convert\ConverterTest.java,org.apache.dubbo.common.convert.ConverterTest,getExtensionLoader/1[java.lang.Class<T>],false,63,3,2,0,2,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
