file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\MetricsTest\SS\infra\binder\src\test\java\org\apache\shardingsphere\infra\binder\segment\from\impl\SimpleTableSegmentBinderTest.java,org.apache.shardingsphere.infra.binder.segment.from.impl.SimpleTableSegmentBinderTest,class,16,17,1,16,5,1,0,38,0,0.2,1,1,5,0,0,1,0,4,4,0,0,0,1,0,0,1,0,0,1,0,8,71,1,0,0,0,12,71,11,18,0,18,0,0,0,1,46,0,0
C:\MetricsTest\SS\infra\rewrite\src\test\java\org\apache\shardingsphere\infra\rewrite\sql\token\pojo\generic\InsertValueTest.java,org.apache.shardingsphere.infra.rewrite.sql.token.pojo.generic.InsertValueTest$Anonymous1,anonymous,0,0,0,0,3,1,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,2,0,0,0,0,0,0,0,5,-1,0
C:\MetricsTest\SS\infra\util\src\test\java\org\apache\shardingsphere\infra\util\eventbus\fixture\EventSubscriberFixture.java,org.apache.shardingsphere.infra.util.eventbus.fixture.EventSubscriberFixture,class,3,4,1,3,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,6,17,0
C:\MetricsTest\SS\agent\plugins\tracing\core\src\main\java\org\apache\shardingsphere\agent\plugin\tracing\core\advice\TracingRootSpanAdvice.java,org.apache.shardingsphere.agent.plugin.tracing.core.advice.TracingRootSpanAdvice,class,5,8,3,5,6,2,0,5,15,1,0,0,6,0,3,0,3,0,6,3,3,0,1,1,0,0,1,0,1,0,3,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,40,1025,0
C:\MetricsTest\SS\parser\sql\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\postgresql\ddl\PostgreSQLDropOperatorStatement.java,org.apache.shardingsphere.sql.parser.sql.dialect.statement.postgresql.ddl.PostgreSQLDropOperatorStatement,class,2,2,0,2,0,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0
C:\MetricsTest\SS\infra\parser\src\main\java\org\apache\shardingsphere\infra\parser\cache\SQLStatementCacheBuilder.java,org.apache.shardingsphere.infra.parser.cache.SQLStatementCacheBuilder,class,6,8,2,6,1,1,0,7,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,0
C:\MetricsTest\SS\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\dal\ShowColumnsStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.dal.ShowColumnsStatementTestCase,class,7,7,0,7,0,2,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,17,0
C:\MetricsTest\SS\features\sharding\core\src\test\java\org\apache\shardingsphere\sharding\route\engine\validator\ddl\ShardingPrepareStatementValidatorTest.java,org.apache.shardingsphere.sharding.route.engine.validator.ddl.ShardingPrepareStatementValidatorTest,class,17,17,0,17,3,1,0,11,0,0,1,1,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,4,25,0,0,0,0,0,18,0,5,0,8,0,0,0,3,39,0,0
C:\MetricsTest\SS\features\mask\distsql\handler\src\main\java\org\apache\shardingsphere\mask\distsql\handler\converter\MaskRuleStatementConverter.java,org.apache.shardingsphere.mask.distsql.handler.converter.MaskRuleStatementConverter,class,8,12,4,8,7,1,0,19,10,0,NaN,NaN,5,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,28,5,2,0,0,0,1,1,4,0,5,1,0,0,1,29,17,0
C:\MetricsTest\SS\kernel\sql-federation\optimizer\src\main\java\org\apache\shardingsphere\sqlfederation\optimizer\converter\statement\update\UpdateStatementConverter.java,org.apache.shardingsphere.sqlfederation.optimizer.converter.statement.update.UpdateStatementConverter,class,12,15,3,12,7,1,0,28,6,0,NaN,NaN,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,30,5,1,0,0,0,0,0,9,0,10,1,0,0,1,30,17,0
